,doi
529,10.1057/jt.2008.20
530,10.1145/2638548
531,10.1207/s15327590ijhc2101_4
532,10.1080/01441647.2015.1015471
533,10.1111/1468-0009.12078
534,10.1145/1735223.1735227
535,10.1080/09511920600883229
536,10.1007/s40171-014-0082-9
537,10.1007/s11213-008-9112-x
538,10.1007/s10845-008-0128-y
539,10.1002/asi.21350
540,10.1080/01449290701803516
541,10.2753/MIS0742-1222270201
542,10.1049/iet-opt.2009.0064
543,10.1002/nav.21672
544,10.1145/2398356.2398374
545,10.1377/hlthaff.27.5.1357
546,10.1111/j.1540-5915.2009.00237.x
547,10.1287/msom.1080.0244
548,10.1080/17517575.2012.665945
549,10.1080/10919390701294095
550,10.1111/tgis.12029
551,10.1061/(ASCE)0733-9364(2005)131:5(591)
552,10.1080/10580530.2011.536107
553,10.1080/10580530.2014.923269
554,10.1061/(ASCE)ME.1943-5479.0000192
555,10.1080/08982110701276653
556,10.1080/01449290512331321884
557,10.1080/0144929X.2011.553739
558,10.5465/amj.2010.0133
559,10.1145/2188349.2188350
560,10.1080/02681102.2014.1003521
561,10.1111/j.1540-5885.2006.00196.x
562,10.1111/poms.12181
563,10.1080/00207543.2011.648279
564,10.1080/02664763.2010.545114
565,10.1061/(ASCE)CO.1943-7862.0000215
566,10.1002/kpm.263
567,10.1080/08920753.2012.692312
568,10.1111/j.1365-2575.2007.00271.x
569,10.1061/(ASCE)ME.1943-5479.0000017
570,10.1111/risa.12192
571,10.1080/00036840902817540
572,10.1007/s10479-013-1485-2
573,10.1287/opre.1070.0414
574,10.1111/j.1468-2346.2008.00723.x
575,10.1007/s10207-015-0303-z
576,10.1377/hlthaff.2011.0630
577,10.1080/08982110701456818
578,10.1049/iet-com.2009.0197
579,10.5465/AMR.2009.40631556
580,10.1007/s10845-012-0638-5
581,10.1049/iet-com.2008.0217
582,10.1111/j.1365-2575.2006.00217.x
583,10.1080/17517575.2012.690105
584,10.1111/j.1468-0408.2009.00492.x
585,10.1080/00207543.2013.831190
586,10.1057/palgrave.dam.3650042
587,10.3846/bme.2015.265
588,10.1111/j.1539-6924.2010.01390.x
589,10.1080/10580530701404660
590,10.2753/REE1540-496X4905S409
591,10.1007/s11235-013-9767-1
592,10.1007/s00607-013-0287-3
593,10.7720/MOSR.1392-1142.2013.67.2
594,10.3233/IP-150354
595,10.1080/00207543.2013.854938
596,10.1080/02681102.2014.899955
597,10.1109/MS.2014.8
598,10.1111/j.1540-4609.2005.00054.x
599,10.1007/s10672-011-9181-3
600,10.1111/j.1365-2575.2012.00411.x
601,10.1080/09640560902868207
602,10.2753/MIS0742-1222270109
603,10.1080/00207540902847355
604,10.1089/cpb.2007.9919
605,10.1145/1506409.1506438
606,10.2308/accr-10099
607,10.1207/s15327590ijhc2002_4
608,10.1080/09585192.2013.792863
609,10.1377/hlthaff.2012.0895
610,10.5755/j01.ee.24.3.4618
611,10.3233/IFS-141456
612,10.1049/iet-com:20070546
613,10.1002/kpm.338
614,10.1080/00207540600596882
615,10.1145/2661061.2661063
616,10.1007/s10257-010-0139-z
617,10.1080/00207543.2014.885145
618,10.1377/hlthaff.2010.0935
619,10.1145/1400181.1400195
620,10.1057/dam.2008.49
621,10.1080/17446540802345414
622,10.1061/(ASCE)0733-9364(2009)135:10(965)
623,10.1002/isaf.1338
624,10.3233/IKS-2009-0140
625,10.1002/asi.20635
626,10.1002/asi.21582
627,10.2308/iace-50003
628,10.1287/ijoc.1080.0289
629,10.1145/2556647.2556655
630,10.1061/(ASCE)0733-9364(2005)131:11(1196)
631,10.1080/15332861.2015.1028249
632,10.1080/01449290500402668
633,10.1049/iet-cdt:20060085
634,10.1007/s11002-011-9141-6
635,10.1145/1409360.1409385
636,10.1002/tqem.20319
637,10.1080/10580530.2010.514181
638,10.1002/asi.20323
639,10.1111/j.1468-2354.2011.00634.x
640,10.1002/asi.20310
641,10.1145/2556583
642,10.1007/s10726-008-9132-z
643,10.1002/sres.2182
644,10.1111/j.1468-0394.2005.00294.x
645,10.1080/01449290802030373
646,10.1108/02756680910972622
647,10.1061/(ASCE)0733-9364(2009)135:3(156)
648,10.1080/0951192X.2010.542179
649,10.1111/j.1540-5885.2011.00807.x
650,10.3233/WOR-2010-1019
651,10.1080/10580530.2014.890429
652,10.1007/s11575-012-0146-z
653,10.1080/14783360903492678
654,10.1007/s10700-013-9157-x
655,10.1049/iet-com.2010.0746
656,10.1080/14783360500163193
657,10.1111/j.1467-8292.2007.00334.x
658,10.1002/itdj.20020
659,10.1111/j.1467-9671.2005.00234.x
660,10.1080/01608060902874559
661,10.1111/j.1467-8683.2007.00609.x
662,10.2105/AJPH.2014.302070
663,10.1002/job.1807
664,10.1080/02642069.2011.574695
665,10.1007/s10207-007-0035-9
666,10.1007/s11257-010-9088-y
667,10.1049/iet-cta.2009.0616
668,10.1080/10580530701777149
669,10.1057/dam.2008.24
670,10.1002/asi.20477
671,10.1007/s10257-010-0155-z
672,10.1057/palgrave.dam.3650023
673,10.1080/14783363.2013.791105
674,10.1377/hlthaff.24.5.1234
675,10.1007/s10207-004-0057-5
676,10.1207/s15327590ijhc1901_8
677,10.1080/00036840903194238
678,10.1080/02673030500391064
679,10.1080/1350485042000329095
680,10.1179/175330311X12943314049493
681,10.1007/s10257-005-0031-4
682,10.1080/01930826.2011.556957
683,10.1002/jcaf.20705
684,10.1061/(ASCE)0733-9364(2009)135:3(207)
685,10.1002/eet.376
686,10.1111/j.1467-8551.2010.00701.x
687,10.1111/j.1365-2575.2011.00392.x
688,10.1007/s10479-010-0771-5
689,10.1007/s10845-011-0527-3
690,10.1080/09654310600852365
691,10.1111/j.1937-5956.2010.01210.x
692,10.1080/13669870500064226
693,10.1111/poms.12209
694,10.1080/07421222.2015.1063272
695,10.1007/s11235-011-9586-1
696,10.1007/s11235-011-9428-1
697,10.1002/asi.20326
698,10.1080/01972240903028490
699,10.1007/s10207-014-0265-6
700,10.1007/s11235-010-9383-2
701,10.2105/ AJPH.2013.301623
702,10.1111/j.1468-0009.2011.00642.x
703,10.3846/jbem.2010.28
704,10.1007/s10766-011-0177-2
705,10.1007/s10729-014-9281-3
706,10.1080/17517575.2010.524942
707,10.1145/2500130
708,10.2105/AJPH.2013.301439
709,10.1080/09639284.2012.729341
710,10.1287/isre.1110.0414
711,10.1057/palgrave.dam.3650037
712,10.1080/01449290903300931
713,10.1080/13600830802473006
714,10.1111/j.1465-7295.2008.00186.x
715,10.1080/10447310701702519
716,10.1002/asi.20341
717,10.1007/s10257-005-0030-5
718,10.1080/17517575.2012.688221
719,10.1002/mar.20051
720,10.1080/08839510701527515
721,10.1111/j.1539-6924.2008.01186.x
722,10.1007/s11235-010-9293-3
723,10.1080/09535314.2010.525742
724,10.3794/ijme.82.252
725,10.1002/asi.21473
726,10.1007/s10551-007-9638-3
727,10.1111/j.1541-0072.2007.00231.x
728,10.1111/j.1539-6924.2012.01893.x
729,10.1007/s10107-006-0070-8
730,10.1080/00207543.2015.1008106
731,10.1007/s10257-014-0254-3
732,10.1007/s10109-012-0172-1
733,10.1145/1735223.1735259
734,10.1080/09535310801890672
735,10.1080/10618600.2012.707343
736,10.1287/mnsc.1100.1247
737,10.1179/175330310X12736578177607
738,10.1287/mnsc.2014.1941
739,10.1145/2133806.2133812
740,10.1002/pmj.20066
741,10.1111/j.1540-5915.2012.00355.x
742,10.1080/00207540701222776
743,10.1080/07421222.2015.1029381
744,10.1111/j.1365-2575.2007.00272.x
745,10.1002/isaf.288
746,10.1111/dsji.12031
